Order_Date,Country,City,Category,Sub_Category,Segment,Sales_Channel,Payment_Mode,Sales,Quantity,Discount,Profit
2022-06-20,UAE,Dubai,Furniture,Snacks,Consumer,Offline,UPI,2555.49,11,0.08,255.37
2023-12-05,UK,London,Sports,Phones,Home Office,Online,Net Banking,1795.27,9,0.28,-332.23
2022-07-05,USA,Los Angeles,Electronics,Shirts,Consumer,Offline,UPI,4554.73,10,0.13,140.24
2024-10-05,USA,New York,Furniture,Phones,Consumer,Online,Net Banking,3107.15,13,0.14,60.7
2023-07-21,USA,New York,Beauty,Fitness,Consumer,Offline,Card,2781.45,12,0.2,61.78
2024-12-10,UK,Manchester,Groceries,Chairs,Corporate,Offline,Cash,2169.63,3,0.19,421.31
2022-01-29,USA,Chicago,Electronics,Fitness,Corporate,Offline,Cash,2669.29,13,0.15,994.03
2023-10-05,USA,New York,Sports,Snacks,Consumer,Online,UPI,4257.16,3,0.2,1290.52
2023-09-15,UK,Manchester,Electronics,Cosmetics,Home Office,Offline,Card,1783.33,11,0.12,484.16
2022-12-28,Germany,Munich,Beauty,Shirts,Consumer,Online,UPI,2350.87,7,0.14,627.51
2023-10-27,Australia,Sydney,Furniture,Cosmetics,Home Office,Online,Cash,299.21,7,0.12,-18.0
2021-08-22,Australia,Melbourne,Furniture,Cosmetics,Consumer,Offline,Card,2530.48,9,0.24,143.28
2023-07-22,USA,New York,Electronics,Snacks,Corporate,Online,Card,2020.81,11,0.02,252.33
2021-10-16,USA,Chicago,Sports,Phones,Corporate,Offline,Cash,2946.15,2,0.24,372.87
2021-07-03,Australia,Melbourne,Furniture,Shirts,Consumer,Online,Net Banking,2709.96,10,0.16,250.76
2024-03-31,Germany,Hamburg,Electronics,Phones,Corporate,Offline,UPI,2263.5,3,0.25,-224.17
2022-09-05,Australia,Sydney,Clothing,Snacks,Consumer,Online,Net Banking,2368.15,4,0.16,693.9
2022-06-06,Germany,Berlin,Clothing,Fitness,Consumer,Online,Card,1705.32,3,0.13,-203.37
2021-03-11,Canada,Toronto,Furniture,Snacks,Home Office,Online,Card,2802.12,14,0.25,997.46
2022-07-14,UK,London,Sports,Shirts,Home Office,Online,UPI,4319.63,14,0.08,-551.27
2023-12-29,USA,Los Angeles,Clothing,Phones,Corporate,Offline,Net Banking,994.6,14,0.05,112.0
2024-12-05,Australia,Sydney,Groceries,Fitness,Consumer,Offline,UPI,1043.29,12,0.12,391.39
2021-02-14,Germany,Hamburg,Electronics,Cosmetics,Home Office,Online,Card,1240.09,12,0.07,451.81
2024-03-27,France,Lyon,Clothing,Cosmetics,Corporate,Offline,UPI,2607.67,7,0.28,422.8
2022-03-16,Canada,Montreal,Sports,Phones,Corporate,Offline,Net Banking,818.88,13,0.29,44.85
2024-07-13,UK,Birmingham,Clothing,Cosmetics,Home Office,Offline,UPI,1021.35,5,0.03,-124.81
2021-10-31,UK,London,Sports,Chairs,Corporate,Online,Net Banking,151.37,9,0.21,43.92
